阿富汗,AFG
阿尔巴尼亚,ALB
阿尔及利亚,DZA
美属萨摩亚,ASM
安道尔,AND
安哥拉,AGO
安圭拉,AIA
南极洲,ATA
安提瓜和巴布达,ATG
阿根廷,ARG
亚美尼亚,ARM
阿鲁巴,ABW
澳大利亚,AUS
奥地利,AUT
阿塞拜疆,AZE
巴哈马,BHS
巴林,BHR
孟加拉国,BGD
巴巴多斯,BRB
白俄罗斯,BLR
比利时,BEL
伯利兹,BLZ
贝宁,BEN
百慕大,BMU
不丹,BTN
玻利维亚,BOL
波黑,BIH
博茨瓦纳,BWA
布维岛,BVT
巴西,BRA
英属印度洋领土,IOT
文莱,BRN
保加利亚,BGR
布基纳法索,BFA
布隆迪,BDI
柬埔寨,KHM
喀麦隆,CMR
加拿大,CAN
佛得角,CPV
开曼群岛,CYM
中非,CAF
乍得,TCD
智利,CHL
中国,CHN
香港,HKG
澳门,MAC
台湾,TWN
圣诞岛,CSR
科科斯(基林)群岛,CCK
哥伦比亚,COL
科摩罗,COM
刚果（布）,COG
刚果（金）,COD
刚果(布),COG
刚果(金),COD
库克群岛,COK
哥斯达黎加,CR
科特迪瓦,CIV
克罗地亚,HRV
古巴,CUB
塞浦路斯,CYP
捷克,CZE
丹麦,DNK
吉布提,DJI
多米尼克,DMA
多米尼加共和国,DOM
东帝汶,TMP
厄瓜多尔,ECU
埃及,EGY
萨尔瓦多,SLV
赤道几内亚,GNQ
厄立特里亚,ERI
爱沙尼亚,EST
埃塞俄比亚,ETH
福克兰群岛(马尔维纳斯),FLK
福克兰群岛,FLK
马尔维纳斯,FLK
法罗群岛,FRO
斐济,FJI
芬兰,FIN
法国,FRA
法属圭亚那,GUF
法属波利尼西亚,PYF
法属南部领土,ATF
加蓬,GAB
冈比亚Gambia,GMB
格鲁吉亚,GEO
德国,DEU
加纳,GHA
直布罗陀,GIB
希腊,GRC
格陵兰,GRL
格林纳达,GRD
瓜德罗普,GLP
关岛,GUM
危地马拉,GTM
几内亚,GIN
几内亚比绍,GNB
圭亚那,GUY
海地,HTI
赫德岛和麦克唐纳岛,HMD
洪都拉斯,HND
匈牙利,HUN
冰岛,ISL
印度,IND
印度尼西亚,IDN
伊朗,IRN
伊拉克,IRQ
爱尔兰,IRL
以色列,ISR
意大利,ITA
牙买加,JAM
日本,JPN
约旦,JOR
哈萨克斯坦,KAZ
肯尼亚,KEN
基里巴斯,KIR
朝鲜,PRK
韩国,KOR
科威特,KWT
吉尔吉斯斯坦,KGZ
老挝,LAO
拉脱维亚,LVA
黎巴嫩,LBN
莱索托,LSO
利比里亚,LBR
利比亚,LBY
列支敦士登,LIE
立陶宛,LTU
卢森堡,LUX
前南马其顿,MKD
马达加斯加,MDG
马拉维,MWI
马来西亚,MYS
马尔代夫,MDV
马里,MLI
马耳他,MLT
马绍尔群岛,MHL
马提尼克,MTQ
毛里塔尼亚,MRT
毛里求斯,MUS
马约特,MYT
墨西哥,MEX
密克罗尼西亚联邦,FSM
摩尔多瓦,MDA
摩纳哥,MCO
蒙古,MNG
蒙特塞拉特,MSR
摩洛哥,MAR
莫桑比克,MOZ
缅甸,MMR
纳米比亚,NAM
瑙鲁,NRU
尼泊尔,NPL
荷兰,NLD
荷属安的列斯,ANT
新喀里多尼亚,NCL
新西兰,NZL
尼加拉瓜,NIC
尼日尔,NER
尼日利亚,NGA
纽埃,NIU
诺福克岛,NFK
北马里亚纳,MNP
挪威,NOR
阿曼,OMN
巴基斯坦,PAK
帕劳,PLW
巴勒斯坦,PST
巴拿马,PAN
巴布亚新几内亚,PNG
巴拉圭,PRY
秘鲁,PER
菲律宾,PHL
皮特凯恩群岛,PCN
波兰,POL
葡萄牙,PRT
波多黎各,PRI
卡塔尔,QAT
留尼汪,REU
罗马尼亚,ROM
俄罗斯联邦,RUS
卢旺达,RWA
圣赫勒拿,SHN
圣基茨和尼维斯,KNA
圣卢西亚,LCA
圣皮埃尔和密克隆,SPM
圣文森特和格林纳丁斯,VCT
萨摩亚,WSM
圣马力诺,SMR
圣多美和普林西比,STp
沙特阿拉伯,SAU
塞内加尔,SEN
塞舌尔,SYC
塞拉利昂,SLE
新加坡,SGP
斯洛伐克,SVK
斯洛文尼亚,SVN
所罗门群岛,SLB
索马里,SOM
南非,ZAF
南乔治亚岛和南桑德韦奇岛,SGS
西班牙,ESP
斯里兰卡,LKA
苏丹,SDN
苏里南,SUR
斯瓦尔巴群岛,SJM
斯威士兰,SWZ
瑞典,SWE
瑞士,CHE
叙利亚,SYR
塔吉克斯坦,TJK
坦桑尼亚,TZA
泰国,THA
多哥,TGO
托克劳,TKL
汤加,TON
特立尼达和多巴哥,TTO
突尼斯,TUN
土耳其,TUR
土库曼斯坦,TKM
特克斯科斯群岛,TCA
图瓦卢,TUV
乌干达,UGA
乌克兰,UKR
阿联酋,ARE
英国,GBR
美国,USA
美国本土外小岛屿,UMI
乌拉圭,URY
乌兹别克斯坦,UZB
瓦努阿图,VUT
梵蒂冈,VAT
委内瑞拉,VEN
越南,VNM
英属维尔京群岛,VGB
美属维尔京群岛,VIR
瓦利斯和富图纳,WLF
西撒哈拉,ESH
也门,YEM
南斯拉夫,YUG
赞比亚,ZMB
津巴布韦,ZWE
